symbol
HDFCBANK
BHARTIARTL
RELIANCE
ICICIBANK
SBIN
INFY
LT
HCLTECH
TCS
AXISBANK
KOTAKBANK
MARUTI
ICICIGI
POWERGRID
ITC
GRASIM
DMART
HINDUNILVR
SUNPHARMA
WIPRO
ULTRACEMCO
BAJAJFINSV
TITAN
APOLLOHOSP
TECHM
DIVISLAB
JSWSTEEL
BAJAJ-AUTO
SBICARD
DRREDDY
HEROMOTOCO
CIPLA
HDFCLIFE
GODREJCP
ASIANPAINT
TORNTPHARM
NESTLEIND
LUPIN
SBILIFE
BRITANNIA
TATACONSUM
UNITDSPR
PIDILITIND
MARICO
SRF
MRF
SHREECEM
PAGEIND
COLPAL
DABUR
