symbol
APLAPOLLO
AUBANK
ASHOKLEY
AUROPHARMA
BSE
BHARATFORG
BHEL
COFORGE
COLPAL
CUMMINSIND
DABUR
DIXON
FEDERALBNK
FORTIS
GMRAIRPORT
GODREJPROP
HDFCAMC
HEROMOTOCO
HINDPETRO
IDFCFIRSTB
IRCTC
INDUSTOWER
INDUSINDBK
JUBLFOOD
LUPIN
MANKIND
MARICO
MFSL
MPHASIS
MUTHOOTFIN
NHPC
NMDC
OBEROIRLTY
OIL
PAYTM
OFSS
POLICYBZR
PIIND
PAGEIND
PERSISTENT
PHOENIXLTD
POLYCAB
PRESTIGE
SBICARD
SRF
SUPREMEIND
SUZLON
TIINDIA
UPL
YESBANK
