symbol
ABB
ADANIENSOL
ADANIGREEN
ADANIPOWER
ATGL
AEGISLOG
BHEL
BPCL
CESC
CGPOWER
CASTROLIND
COALINDIA
GAIL
GVT&D
GUJGASLTD
GSPL
HINDPETRO
POWERINDIA
IOC
IGL
INOXWIND
JSWENERGY
JPPOWER
MGL
NHPC
NLCINDIA
NTPC
ONGC
OIL
PETRONET
POWERGRID
RELIANCE
RPOWER
SJVN
ENRIN
SIEMENS
SUZLON
TATAPOWER
THERMAX
TORNTPOWER
