symbol
APLAPOLLO
ADANIENSOL
ADANIGREEN
ADANIPOWER
AMBUJACEM
BPCL
COALINDIA
GRASIM
HINDALCO
HINDPETRO
IOC
JSWENERGY
JSWSTEEL
JINDALSTEL
NHPC
NMDC
NTPC
ONGC
OIL
PIIND
PIDILITIND
RELIANCE
SRF
SHREECEM
TATAPOWER
TATASTEEL
TORNTPOWER
UPL
ULTRACEMCO
VEDL
