symbol
BHARTIARTL
MCX
MUTHOOTFIN
HDFCAMC
SHRIRAMFIN
BSE
M&M
MARUTI
BAJFINANCE
BEL
INDIGO
LAURUSLABS
CANBK
GVT&D
POWERINDIA
BDL
CHOLAFIN
MAZDOCK
BAJAJFINSV
GODFRYPHLP
ADANIPOWER
EICHERMOT
ASHOKLEY
RADICO
SOLARINDS
TVSMOTOR
AUBANK
HDFCLIFE
UPL
MAXHEALTH
PAYTM
SBILIFE
BANKINDIA
AMBER
RBLBANK
FORTIS
NYKAA
LTF
INDIANB
NH
GLENMARK
NAVINFLUOR
MANAPPURAM
REDINGTON
ABCAPITAL
COROMANDEL
MFSL
BAJAJHLDNG
IIFL
POONAWALLA
