symbol
AXISBANK
BSE
BAJFINANCE
BAJAJFINSV
CHOLAFIN
HDFCBANK
HDFCLIFE
ICICIBANK
ICICIGI
ICICIPRULI
JIOFIN
KOTAKBANK
LICHSGFIN
MUTHOOTFIN
PFC
RECLTD
SBICARD
SBILIFE
SHRIRAMFIN
SBIN
